date,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome
1990-01-12,Algeria,Mali,5,0,Friendly tournament,France,True,Home Win
1990-01-17,Mexico,Argentina,2,0,Friendly,United States,True,Home Win
1990-01-17,Greece,Belgium,2,0,Friendly,Greece,False,Home Win
1990-01-20,Malawi,Tanzania,2,2,SADCC Tournament,Swaziland,True,Draw
1990-01-20,Swaziland,Botswana,3,1,SADCC Tournament,Swaziland,False,Home Win
1990-01-21,Kuwait,France,0,1,Friendly tournament,Kuwait,False,Away Win
1990-01-21,Swaziland,Tanzania,0,1,SADCC Tournament,Swaziland,False,Away Win
1990-01-21,Botswana,Malawi,2,2,SADCC Tournament,Swaziland,True,Draw
1990-01-23,Botswana,Tanzania,0,0,SADCC Tournament,Swaziland,True,Draw
1990-01-23,Swaziland,Malawi,0,0,SADCC Tournament,Swaziland,False,Draw
1990-01-24,Senegal,Liberia,1,0,CEDEAO Cup,Nigeria,True,Home Win
1990-01-24,France,East Germany,3,0,Friendly tournament,Kuwait,True,Home Win
1990-01-25,Nigeria,Ivory Coast,2,0,CEDEAO Cup,Nigeria,False,Home Win
1990-01-26,Kuwait,East Germany,1,2,Friendly tournament,Kuwait,False,Away Win
1990-01-27,Ivory Coast,Liberia,1,0,CEDEAO Cup,Nigeria,True,Home Win
1990-01-28,Nigeria,Senegal,0,0,CEDEAO Cup,Nigeria,False,Draw
1990-01-28,United Arab Emirates,Egypt,1,2,Friendly,United Arab Emirates,False,Away Win
1990-01-29,Thailand,Kenya,2,1,King's Cup,Thailand,False,Home Win
1990-01-31,United Arab Emirates,Egypt,1,0,Friendly,United Arab Emirates,False,Home Win
1990-02-02,Kenya,Indonesia,3,2,King's Cup,Thailand,True,Home Win
1990-02-02,Iran,Poland,0,2,Friendly,Iran,False,Away Win
1990-02-02,United States,Costa Rica,0,2,Friendly tournament,United States,False,Away Win
1990-02-02,Uruguay,Colombia,2,0,Friendly tournament,United States,True,Home Win
1990-02-04,Iran,Poland,0,1,Friendly,Iran,False,Away Win
1990-02-04,Norway,South Korea,3,2,Friendly tournament,Malta,True,Home Win
1990-02-04,Algeria,Romania,0,0,Friendly,Algeria,False,Draw
1990-02-04,United States,Colombia,1,1,Friendly tournament,United States,False,Draw
1990-02-04,Uruguay,Costa Rica,2,0,Friendly tournament,United States,True,Home Win
1990-02-05,Thailand,Indonesia,1,1,King's Cup,Thailand,False,Draw
1990-02-05,United Arab Emirates,Denmark,1,1,Friendly,United Arab Emirates,False,Draw
1990-02-07,Malta,Norway,1,1,Friendly tournament,Malta,False,Draw
1990-02-09,South Korea,Norway,3,0,Friendly,Malta,True,Home Win
1990-02-10,Malta,South Korea,1,2,Friendly tournament,Malta,False,Away Win
1990-02-10,Uganda,Mauritius,4,1,Friendly,Uganda,False,Home Win
1990-02-11,Kuwait,Poland,1,1,Friendly,Egypt,True,Draw
1990-02-11,Togo,Cameroon,1,1,Friendly,Togo,False,Draw
1990-02-12,United Arab Emirates,Finland,1,1,Friendly,United Arab Emirates,False,Draw
1990-02-13,Bermuda,United States,0,1,Friendly,Bermuda,False,Away Win
1990-02-14,United Arab Emirates,Sweden,2,1,Friendly,United Arab Emirates,False,Home Win
1990-02-14,Egypt,Denmark,0,0,Friendly,Egypt,False,Draw
1990-02-15,Iraq,South Korea,0,0,Friendly,Iraq,False,Draw
1990-02-15,Finland,Kuwait,1,0,Friendly,Egypt,True,Home Win
1990-02-17,United Arab Emirates,Sweden,0,2,Friendly,United Arab Emirates,False,Away Win
1990-02-18,Egypt,South Korea,0,0,Friendly,Egypt,False,Draw
1990-02-20,Colombia,Soviet Union,0,0,Friendly tournament,United States,True,Draw
1990-02-21,Spain,Czechoslovakia,1,0,Friendly,Spain,False,Home Win
1990-02-21,Netherlands,Italy,0,0,Friendly,Netherlands,False,Draw
1990-02-21,Belgium,Sweden,0,0,Friendly,Belgium,False,Draw
1990-02-21,Morocco,Ivory Coast,2,1,Friendly,Morocco,False,Home Win
1990-02-21,Gambia,Guinea-Bissau,0,1,Friendly,The Gambia,True,Away Win
1990-02-21,Kuwait,Bahrain,1,0,Gulf Cup,Kuwait,False,Home Win
1990-02-22,Oman,United Arab Emirates,1,1,Gulf Cup,Kuwait,True,Draw
1990-02-22,Soviet Union,Costa Rica,2,1,Friendly tournament,United States,True,Home Win
1990-02-23,Bahrain,Qatar,0,0,Gulf Cup,Kuwait,True,Draw
1990-02-24,Kuwait,Oman,1,1,Gulf Cup,Kuwait,False,Draw
1990-02-24,United States,Soviet Union,1,3,Friendly,United States,False,Away Win
1990-02-26,Iraq,Bahrain,1,0,Gulf Cup,Kuwait,True,Home Win
1990-02-27,Qatar,United Arab Emirates,0,0,Gulf Cup,Kuwait,True,Draw
1990-02-28,Kuwait,Iraq,1,1,Gulf Cup,Kuwait,False,Draw
1990-02-28,Bahrain,Oman,0,0,Gulf Cup,Kuwait,True,Draw
1990-02-28,Egypt,Austria,0,0,Friendly,Egypt,False,Draw
1990-02-28,France,West Germany,2,1,Friendly,France,False,Home Win
1990-03-02,Algeria,Nigeria,5,1,African Nations Cup,Algeria,False,Home Win
1990-03-02,Ivory Coast,Egypt,3,1,African Nations Cup,Algeria,True,Home Win
1990-03-03,Iraq,United Arab Emirates,2,2,Gulf Cup,Kuwait,True,Draw
1990-03-03,Kenya,Senegal,0,0,African Nations Cup,Algeria,True,Draw
1990-03-03,Zambia,Cameroon,1,0,African Nations Cup,Algeria,True,Home Win
1990-03-04,Qatar,Oman,4,2,Gulf Cup,Kuwait,True,Home Win
1990-03-05,Bahrain,United Arab Emirates,1,0,Gulf Cup,Kuwait,True,Home Win
1990-03-05,Nigeria,Egypt,1,0,African Nations Cup,Algeria,True,Home Win
1990-03-05,Algeria,Ivory Coast,3,0,African Nations Cup,Algeria,False,Home Win
1990-03-06,Zambia,Kenya,1,0,African Nations Cup,Algeria,True,Home Win
1990-03-06,Senegal,Cameroon,2,0,African Nations Cup,Algeria,True,Home Win
1990-03-06,Mozambique,Angola,2,1,SADCC Tournament,Mozambique,False,Home Win
1990-03-07,Kuwait,Qatar,2,0,Gulf Cup,Kuwait,False,Home Win
1990-03-07,Zimbabwe,Lesotho,4,1,SADCC Tournament,Mozambique,True,Home Win
1990-03-08,Zimbabwe,Angola,2,0,SADCC Tournament,Mozambique,True,Home Win
1990-03-08,Nigeria,Ivory Coast,1,0,African Nations Cup,Algeria,True,Home Win
1990-03-08,Algeria,Egypt,2,0,African Nations Cup,Algeria,False,Home Win
1990-03-09,Kuwait,United Arab Emirates,6,1,Gulf Cup,Kuwait,False,Home Win
1990-03-09,Cameroon,Kenya,2,0,African Nations Cup,Algeria,True,Home Win
1990-03-09,Senegal,Zambia,0,0,African Nations Cup,Algeria,True,Draw
1990-03-10,Mozambique,Zimbabwe,3,1,SADCC Tournament,Mozambique,False,Home Win
1990-03-10,Angola,Lesotho,3,1,SADCC Tournament,Mozambique,True,Home Win
1990-03-10,United States,Finland,2,1,Friendly,United States,False,Home Win
1990-03-11,Mozambique,Lesotho,3,0,SADCC Tournament,Mozambique,False,Home Win
1990-03-12,Nigeria,Zambia,2,0,African Nations Cup,Algeria,True,Home Win
